IO_SIZE(Bytes),Stride(Bytes),Trial 1 Throughput(MB/s),Trial 2 Throughput(MB/s),Trial 3 Throughput(MB/s),Trial 4 Throughput(MB/s),Trial 5 Throughput(MB/s)
4096,4096,171.19,137.76,197.6,167.5,175.15
4096,8192,160.62,74.86,173.27,166.11,170.18
4096,16384,148.59,80.99,132.53,102.22,154.11
4096,32768,121.21,115.02,74.8,118.56,144.04
4096,65536,144.03,121.14,117.53,134.35,161.23
4096,131072,153.58,134.93,120.89,134.39,172.36
4096,262144,166.13,146.93,143.1,147.16,164.05
4096,524288,174.74,168.66,170.87,164.22,173.2
4096,1048576,176.81,173.84,175.7,174.59,177.95
4096,2097152,177.52,166.03,175.39,160.27,178.3
4096,4194304,178.82,174.72,152.41,168.51,170.9
4096,8388608,178.78,171.13,165.94,177.8,161.55
4096,16777216,178.56,173.67,164.21,179.48,174.78
4096,33554432,178.5,172.55,163.45,179.42,167.55
4096,67108864,179.12,168.1,160.37,179.29,170.71
4096,100663296,178.82,172.69,161.42,181.62,168.75
16384,4096,207.97,198.73,186.76,199.39,106.28
16384,8192,207.96,197.32,168.01,248.87,126.31
16384,16384,407.92,404.64,366.68,428.4,339.16
16384,32768,476.43,448.89,461.62,481.33,451.9
16384,65536,529.2,509.21,503.86,531.09,504.11
16384,131072,549.26,532.14,544.99,540.78,458.21
16384,262144,589.38,573.12,571.98,591.24,571.18
16384,524288,578.37,572.6,583.44,596.92,589.21
16384,1048576,581.76,577.52,591.35,612.17,587.95
16384,2097152,618.83,636.37,560.94,638.09,593.71
16384,4194304,623.45,656.94,634.42,659.62,546.31
16384,8388608,680.75,658.11,624.97,661.22,556.04
16384,16777216,639.83,583.53,628.39,659.64,586.26
16384,33554432,657.26,665.18,638.95,662.23,649.3
16384,67108864,621.2,644.91,627.25,647.05,628.15
16384,100663296,621.95,644.69,576.85,649.36,635.66
65536,4096,306.76,338.02,449.23,632.29,238.07
65536,8192,355.16,381.26,477.19,2011.33,264.82
65536,16384,849.35,950.66,992.52,1060.95,882.64
65536,32768,968.85,1133.65,1097.74,1166.56,1004.54
65536,65536,1100.16,1203.39,1183.41,1350.18,1198.96
65536,131072,1350.11,1449.37,1498.54,1525.89,1426.12
65536,262144,1566.86,1659.1,1664.19,1732.52,1586.22
65536,524288,1727.73,1863.19,1843.12,1864.75,1724.97
65536,1048576,1787.19,1949.28,1880.46,1975.71,1877.79
65536,2097152,1813.7,2019.95,1786.4,1999.54,1867.94
65536,4194304,1890.75,2129.68,2056.82,2123.36,1962.34
65536,8388608,2103.88,2137.73,2137.24,2089.63,2026.86
65536,16777216,2147.96,2079.5,2125.2,2127.09,2024.76
65536,33554432,2155.24,2079.22,2167.15,2158,1983.24
65536,67108864,1955.45,2122.13,2166.65,2163.11,2045.27
65536,100663296,2129.77,2156.44,2137.51,2093.88,2024.38
262144,4096,795.36,892.61,2136.29,2968.62,468.37
262144,8192,780.24,1149.87,2184.4,2007.43,2404.72
262144,16384,1353,1341.15,1411.95,1466.86,1240.42
262144,32768,1421.63,1485.21,1468.65,1495.53,1371.45
262144,65536,1376.57,1556.37,1621.22,1631.49,1461.48
262144,131072,1117.42,1767.64,1808.47,1816.85,1700.02
262144,262144,1816.97,2062.69,2113.01,2086.73,2019.46
262144,524288,2275.8,2345.77,2353.14,2316.1,2308.99
262144,1048576,2585.13,2669.84,2695.9,2685.46,2654.45
262144,2097152,2880.09,2911.48,2917.25,2975.19,2867.94
262144,4194304,3051.74,3132.02,2945.43,3113.83,2949.61
262144,8388608,3124.5,3212.35,3133.38,3176.26,3131.18
262144,16777216,3130.75,3427.65,3194.12,3361.91,3331.34
262144,33554432,3669.54,3986.48,3417.17,3843.8,3805.05
262144,67108864,3978.07,4239.57,3880.8,4123.51,4125.37
262144,100663296,4238.18,4272.67,4199.03,4180.19,4155.25
1048576,4096,407.95,1775.5,2657.35,2712.73,2365.73
1048576,8192,389.05,2143.18,2040.29,2043.95,1981.92
1048576,16384,1226.47,1503.1,1485.63,1425.49,1367.51
1048576,32768,1374.89,1530.43,1417.31,1527.26,1410.76
1048576,65536,1408.37,1507.94,1301.21,1578.92,1418.88
1048576,131072,1287,1611.34,1398.03,1604.35,1536.3
1048576,262144,1277.46,1725.13,1548.99,1608.33,1714.72
1048576,524288,1586.9,1839.58,1867.37,1819.34,1867.28
1048576,1048576,1652.36,2039.73,2068.66,2089.26,2100.53
1048576,2097152,2173.18,2330.77,2374,2430.86,2406.6
1048576,4194304,2552,2700.84,2720.55,2750.26,2736.45
1048576,8388608,2840.59,2500.97,3011.26,2534.8,2981.37
1048576,16777216,2715.14,3129.45,3155.9,3119.44,3144.9
1048576,33554432,2695.11,3182.19,3239.51,3274.26,3252.04
1048576,67108864,2986.77,3358.37,3453.64,3442.49,3373.75
1048576,100663296,2988.01,3767.28,3692.47,3729.93,3540.58